feature,n,n_levels,chi2,chi2_p,cramers_v
bs_band,43076,6,510.11512778846213,5.233354184406809e-108,0.10882192832948823
plmn,43076,3,488.7560956646373,7.378402251186101e-107,0.1065193258793388
bs_sector,43076,5,231.5629556246455,6.082989211759836e-49,0.07331905486256214
