method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_scope,param_min_samples,param_feature_set,param_model,param_random_state,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,param_outlier_strategy,param_outlier_min_keep,repeat_id
4_ml_v1,4_ml,1,7.508629126387986,9.565126039359185,0.17134710927280927,0.4510967640253731,0.41966391850325957,43221,111541,111541,47783,53.93629897600022,13.079335145999721,67.01563412199994,per_cell,20,geo_dist_alt,rf,42,120,12,3,2,200,200,none,20,0
4_ml_v2,4_ml,2,7.5104409432369605,9.567500745755142,0.17093560364654203,0.4508978765449297,0.4188930044677064,43221,111541,111541,47783,27.162248485999953,8.06929427399973,35.231542759999684,per_cell,20,geo_dist_alt,et,42,120,12,3,2,200,200,none,20,0
4_ml_v3,4_ml,3,7.508629126387986,9.565126039359185,0.17134710927280927,0.45109676402537247,0.41966391850325957,43221,111541,111541,47783,53.99806838599943,12.876910680999572,66.874979066999,per_cell,20,bs_context,rf,42,120,12,3,2,200,200,none,20,0
4_ml_v4,4_ml,4,7.5104409432369605,9.567500745755142,0.17093560364654203,0.4508978765449297,0.4188930044677064,43221,111541,111541,47783,26.60256020199995,12.006926479999493,38.60948668199944,per_cell,20,bs_context,et,42,120,12,3,2,200,200,none,20,0
