method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,mae_std,rmse_std,r2_std,pearson_std,spearman_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
5_gpr_v1,5_gpr,1,4.573915651122779,6.400255930989398,0.6346203710770998,0.8001831861805926,0.7746434671588435,32210.0,127114,115160,32210,18.53264061400023,0.3620444570001382,18.894685071000367,8,mad,,3.5,,,8,1e-06,,,,,,,0.001,1.0,True,400.0,42.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,4.623113158551234,6.505772215543154,0.6241131697114072,0.792809276770606,0.7678187126912707,32017.0,127307,115276,32017,25.175138652999976,0.5881537269997352,25.76329237999971,8,mad,,3.5,,,8,1e-06,,,,,,,0.001,1.0,True,400.0,42.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,4.567415186604905,6.447156849070231,0.6272570998593702,0.7957188013603326,0.7734412010541979,31853.0,127471,115362,31853,21.110986076000245,0.49386209800013603,21.60484817400038,8,mad,,3.5,,,8,1e-06,,,,,,,0.001,1.0,True,400.0,42.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,4.546855639309101,6.356133197494599,0.643009834505236,0.8043256998829654,0.7807224545532526,31701.0,127623,115440,31701,17.153710294999655,0.3773783159999766,17.531088610999632,8,mad,,3.5,,,8,1e-06,,,,,,,0.001,1.0,True,400.0,42.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,4.562972426971042,6.387349913719186,0.6401784312073825,0.8027992549357716,0.7804934911527038,31543.0,127781,115514,31543,23.78607724199992,0.661745351999798,24.447822593999717,8,mad,,3.5,,,8,1e-06,,,,,,,0.001,1.0,True,400.0,42.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
