method,method_group,variant,threshold_dbm,tp,fp,tn,fn,precision,recall,f1,accuracy,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_mad_k,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_model,param_feature_set,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_learning_rate,param_subsample,param_colsample_bytree,param_class_weight,param_use_gpu,param_fit_progress_every,param_predict_progress_every
3_idw_v1,3_idw,1,-105.0,27059,3968,12988,3782,0.8721113868566087,0.8773710320677021,0.8747333031615697,0.8378559323806933,111527,98063,47797,0.22158890899981998,0.756708437999805,0.978297346999625,4,mad,,6.0,,,,,2.5,24.0,1.0,1e-12,,,,,,,,,,,,,,,,,,
3_idw_v1,3_idw,1,-110.0,36748,3246,5590,2213,0.9188378256738511,0.9431996098662765,0.930859350262808,0.8857878109504781,111527,98063,47797,0.22158890899981998,0.7590366139997968,0.9806255229996168,4,mad,,6.0,,,,,2.5,24.0,1.0,1e-12,,,,,,,,,,,,,,,,,,
3_idw_v1,3_idw,1,-115.0,43711,1682,1898,506,0.9629458286519949,0.9885564375692607,0.9755830822452851,0.9542230683934139,111527,98063,47797,0.22158890899981998,0.7597609859999466,0.9813498949997665,4,mad,,6.0,,,,,2.5,24.0,1.0,1e-12,,,,,,,,,,,,,,,,,,
3_idw_v1,3_idw,1,-120.0,46783,634,281,99,0.9866292679840564,0.9978883153449085,0.9922268528828514,0.9846643094754901,111527,98063,47797,0.22158890899981998,0.7581144580003638,0.9797033670001838,4,mad,,6.0,,,,,2.5,24.0,1.0,1e-12,,,,,,,,,,,,,,,,,,
