method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_alpha,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.8790730711178194,0.9530272403503706,0.914557546646961,0.8523013053371122,19802.0,2724.0,1549.0,976.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7899637308504304,0.8711718703360993,0.8285827844651374,0.7589716977366173,14593.0,3880.0,4420.0,2158.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7696975628853872,0.6720218766022902,0.7175509831652903,0.7528641571194763,7864.0,2353.0,10996.0,3838.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-120.0,0.9860277833702437,0.9995510020817177,0.9927433413061986,0.9855929816089178,24488.0,347.0,3.0,11.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-115.0,0.937143550539983,0.9973311523395463,0.9663010384952245,0.9349672018994728,23169.0,1554.0,64.0,62.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.884920812957064,0.9487709846553466,0.9157342495009053,0.8539176626826029,19724.0,2565.0,1495.0,1065.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7954582763337893,0.8671558100691958,0.8297611233197294,0.7599500985955169,14537.0,3738.0,4347.0,2227.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7849960567823344,0.6727779655288949,0.724567788898999,0.7563684655318121,7963.0,2181.0,10832.0,3873.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-120.0,0.9854468219005664,0.9998004708887026,0.9925717568290315,0.9852565362689207,25054.0,370.0,6.0,5.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-115.0,0.9365712930761935,0.9977266029554162,0.9661821962207228,0.9347749164537055,23699.0,1605.0,77.0,54.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.8800683072072861,0.9500378143316317,0.9137155066599991,0.8507568311381954,20099.0,2739.0,1540.0,1057.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7813716209109077,0.8758990685060724,0.8259395152323771,0.7538038136426184,14857.0,4157.0,4316.0,2105.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7760549558390579,0.6601001669449081,0.7133964817320705,0.7501867505405937,7908.0,2282.0,11173.0,4072.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
