method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_k_neighbors,param_power,param_epsilon,param_outlier_strategy,param_outlier_mad_k,param_outlier_min_keep,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
3_idw_v1,3_idw,1,-105.0,0.8794653705953828,0.8803639194317407,0.8799144156191495,0.8449439613223244,18095.0,2480.0,8819.0,2459.0,31853.0,127471,111677,31853,0.4138589529998171,0.463836578000155,0.8776955309999721,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-100.0,0.8506302362442448,0.8008811824900511,0.825006405329234,0.8499042476375852,11270.0,1979.0,15802.0,2802.0,31853.0,127471,111677,31853,0.4138589529998171,0.463836578000155,0.8776955309999721,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-120.0,0.9871847871021083,0.9983919727278575,0.9927567515709695,0.9857102299612,31044.0,403.0,204.0,50.0,31701.0,127623,111798,31701,0.39388079499985906,0.4605894590004027,0.8544702540002618,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-115.0,0.9660022665155656,0.9880339549313061,0.9768939074745092,0.9567521529289297,28982.0,1020.0,1348.0,351.0,31701.0,127623,111798,31701,0.39388079499985906,0.4605894590004027,0.8544702540002618,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-110.0,0.9256710775047259,0.9441980640931703,0.9348427865065577,0.8923377811425507,24484.0,1966.0,3804.0,1447.0,31701.0,127623,111798,31701,0.39388079499985906,0.4605894590004027,0.8544702540002618,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-105.0,0.8840474108617508,0.8844340768819556,0.8842407016009524,0.8496892842497082,18199.0,2387.0,8737.0,2378.0,31701.0,127623,111798,31701,0.39388079499985906,0.4605894590004027,0.8544702540002618,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-100.0,0.8591453764413294,0.8004493750877686,0.8287594053287776,0.8513927005457241,11400.0,1869.0,15590.0,2842.0,31701.0,127623,111798,31701,0.39388079499985906,0.4605894590004027,0.8544702540002618,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-120.0,0.986857252494244,0.9976078875060611,0.9922034497725335,0.9846241638398376,30861.0,411.0,197.0,74.0,31543.0,127781,111878,31543,0.3785322119997545,0.4588868050000201,0.8374190169997746,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-115.0,0.9654523457453958,0.9845099383139136,0.9748880141170082,0.9530799226452779,28728.0,1028.0,1335.0,452.0,31543.0,127781,111878,31543,0.3785322119997545,0.4588868050000201,0.8374190169997746,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-110.0,0.9229686548995739,0.9432781276728093,0.9330128821380503,0.8895476016865865,24263.0,2025.0,3796.0,1459.0,31543.0,127781,111878,31543,0.3785322119997545,0.4588868050000201,0.8374190169997746,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-105.0,0.8801626573906227,0.8804646147814154,0.8803136101923312,0.8451320419744476,17965.0,2446.0,8693.0,2439.0,31543.0,127781,111878,31543,0.3785322119997545,0.4588868050000201,0.8374190169997746,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-100.0,0.8531757977122215,0.8008618253743995,0.8261915172715347,0.8487778587959294,11337.0,1951.0,15436.0,2819.0,31543.0,127781,111878,31543,0.3785322119997545,0.4588868050000201,0.8374190169997746,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
