method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,mae_std,rmse_std,r2_std,pearson_std,spearman_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
3_idw_v1,3_idw,1,3.739222428314317,5.814892298363719,0.6983988456182055,0.8384151531939618,0.821923540413835,32210.0,127114,111369,32210,0.3755953310001132,0.45189319300015995,0.8274885240002732,4,mad,,2.5,,,6,,,,,24.0,1.0,1e-12,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,3.781994612861361,5.86806246381103,0.6941919881129692,0.8351533629449316,0.8169964706263354,32017.0,127307,111593,32017,0.40399437399992166,0.48338380399991365,0.8873781779998353,4,mad,,2.5,,,6,,,,,24.0,1.0,1e-12,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,3.7402225301619474,5.823484802403042,0.6958843283554694,0.8366488965418952,0.8212843792320254,31853.0,127471,111677,31853,0.3828632720001224,0.4645611280002413,0.8474244000003637,4,mad,,2.5,,,6,,,,,24.0,1.0,1e-12,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,3.6755056341430046,5.676126700659124,0.715308542963434,0.8472739848202209,0.8293740808922136,31701.0,127623,111798,31701,0.38507103099982487,0.44473847199969896,0.8298095029995238,4,mad,,2.5,,,6,,,,,24.0,1.0,1e-12,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,3.73862315667106,5.799584200658599,0.7033533201614008,0.8406670468818714,0.8229859036486208,31543.0,127781,111878,31543,0.3930979230003686,0.47680505700009235,0.869902980000461,4,mad,,2.5,,,6,,,,,24.0,1.0,1e-12,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
