method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,mae_std,rmse_std,r2_std,pearson_std,spearman_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
0_CH_v1,0_CH,1,5.715401976595673,7.289433012524836,0.5185262752557895,0.7202482739618411,0.6852677053299231,29540.0,127114,122962,32210,1.8210014140004205,0.7627838749999682,2.5837852890003887,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,5.7101085360744115,7.277610110611496,0.5239328852437424,0.7238786951824718,0.6874653619251705,29403.0,127307,123153,32017,1.8383035890001338,0.7594620059999215,2.5977655950000553,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,5.678385155589206,7.247713919534448,0.5196294854595804,0.7209754758811558,0.6882672453771422,29351.0,127471,123313,31853,1.8973680999997669,0.7899301960001139,2.687298295999881,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,5.726805036111372,7.305496670644686,0.5208798876190652,0.7219112252009996,0.6875658482332153,29333.0,127623,123459,31701,1.846288321999964,0.7619378049998886,2.6082261269998526,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,5.730842482691535,7.3110937295677,0.5211114404783184,0.7218995041446835,0.6887996323474415,29026.0,127781,123606,31543,1.869113402000039,0.7494350599999962,2.618548462000035,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
