method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_scope,param_min_samples,param_feature_set,param_model,param_random_state,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,param_outlier_strategy,param_outlier_min_keep
4_ml_v1,4_ml,1,6.93404369129252,8.88392051554251,0.29655429136255695,0.5446293425393601,0.510114626504126,47783,111541,111541,47783,110.10002074600015,18.419202609999957,128.5192233560001,per_cell,20,baseline,rf,42,120,12,3,2,200,200,none,20
4_ml_v2,4_ml,2,6.93404369129252,8.88392051554251,0.29655429136255673,0.5446293425393597,0.510114626504126,47783,111541,111541,47783,116.36607225700027,23.86287009499938,140.22894235199965,per_cell,20,baseline,rf,42,120,20,3,2,200,200,none,20
4_ml_v3,4_ml,3,6.93420126975544,8.883964904579429,0.2965472617284024,0.5446246333488863,0.5102578625720995,47783,111541,111541,47783,261.46445095500076,47.37587249799981,308.84032345300056,per_cell,20,baseline,rf,42,300,12,3,2,200,200,none,20
