method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
0_CH_v1,0_CH,1,-115.0,0.9319943500878493,0.9957304280613934,0.9628087408356466,0.9287928861026882,27053.0,1974.0,208.0,116.0,29351.0,127471,123313,31853,1.8973680999997669,0.7899301960001139,2.687298295999881,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-110.0,0.8726109770577195,0.9494894769743697,0.909428388950982,0.845388572791387,22783.0,3326.0,2030.0,1212.0,29351.0,127471,123313,31853,1.8973680999997669,0.7899301960001139,2.687298295999881,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-105.0,0.7827120578166603,0.8623814762428624,0.8206176316642158,0.7547954073115055,16462.0,4570.0,5692.0,2627.0,29351.0,127471,123313,31853,1.8973680999997669,0.7899301960001139,2.687298295999881,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-100.0,0.7667620239585196,0.6544330840836258,0.7061584060596081,0.7568055602875541,8577.0,2609.0,13636.0,4529.0,29351.0,127471,123313,31853,1.8973680999997669,0.7899301960001139,2.687298295999881,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-120.0,0.9837195808730673,0.999167995562643,0.9913836099406655,0.9829202604575052,28822.0,477.0,10.0,24.0,29333.0,127623,123459,31701,1.846288321999964,0.7619378049998886,2.6082261269998526,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-115.0,0.9347878537207459,0.9951564965324918,0.9640280098105428,0.9309992159001806,27121.0,1892.0,188.0,132.0,29333.0,127623,123459,31701,1.846288321999964,0.7619378049998886,2.6082261269998526,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-110.0,0.8785294456609427,0.9455861070911722,0.9108252349848655,0.847339174308799,22869.0,3162.0,1986.0,1316.0,29333.0,127623,123459,31701,1.846288321999964,0.7619378049998886,2.6082261269998526,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-105.0,0.7851961439343323,0.8554122907351565,0.8188016323280582,0.7517471789452153,16453.0,4501.0,5598.0,2781.0,29333.0,127623,123459,31701,1.846288321999964,0.7619378049998886,2.6082261269998526,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-100.0,0.7835874439461883,0.6548002698043918,0.7134283264606213,0.7607131899226127,8737.0,2413.0,13577.0,4606.0,29333.0,127623,123459,31701,1.846288321999964,0.7619378049998886,2.6082261269998526,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-120.0,0.9831776345272157,0.9997546270330903,0.9913968402940716,0.9829463239853924,28521.0,488.0,10.0,7.0,29026.0,127781,123606,31543,1.869113402000039,0.7494350599999962,2.618548462000035,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-115.0,0.9341605381478513,0.9946190670575574,0.9634422516984795,0.9299248949217942,26802.0,1889.0,190.0,145.0,29026.0,127781,123606,31543,1.869113402000039,0.7494350599999962,2.618548462000035,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-110.0,0.8756704236300039,0.9457666960500357,0.9093697657054063,0.8452766485220148,22531.0,3199.0,2004.0,1292.0,29026.0,127781,123606,31543,1.869113402000039,0.7494350599999962,2.618548462000035,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-105.0,0.7835249042145593,0.8619599578503688,0.8208730556949323,0.7540136429408116,16360.0,4520.0,5526.0,2620.0,29026.0,127781,123606,31543,1.869113402000039,0.7494350599999962,2.618548462000035,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-100.0,0.7719126170307624,0.6542472793228536,0.7082259581952796,0.7542548060359677,8657.0,2558.0,13236.0,4575.0,29026.0,127781,123606,31543,1.869113402000039,0.7494350599999962,2.618548462000035,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
