method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,mae_std,rmse_std,r2_std,pearson_std,spearman_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
2_kriging_v1,2_kriging,1,4.755357107347891,9.884182293087441,0.12857273914961187,0.6376097927578901,0.7916277857189311,32210.0,127114,115064,32210,6.6677233099999285,30.10888691199989,36.77661022199982,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,5.505862381478342,11.770170479275867,-0.23033933643502746,0.5464291570646231,0.759820050305379,32017.0,127307,115183,32017,6.825441689999934,37.25108557600015,44.076527266000085,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,4.887081276908918,10.39882762679435,0.03029046388044221,0.6261254281445459,0.7982365243361547,31853.0,127471,115292,31853,6.607231004999903,28.454568201000257,35.06179920600016,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,4.851559513381773,10.065530586134185,0.10475146557892856,0.6397396686074233,0.8009594772987993,31701.0,127623,115342,31701,6.62846259600019,36.686202069000046,43.31466466500024,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,4.804997558614097,10.139054236236309,0.09334790751655242,0.6210526094566929,0.7897106363629489,31543.0,127781,115433,31543,6.7187824800003,40.279329227999824,46.998111708000124,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
