method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_length_scale,param_noise_level,param_alpha,param_normalize_y,param_max_train,param_random_state,param_outlier_strategy,param_outlier_mad_k,param_outlier_min_keep,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
5_gpr_v1,5_gpr,1,-105.0,0.8441066462069627,0.8564269728519996,0.8502221792890263,0.8052930650174238,17603.0,3251.0,8048.0,2951.0,31853.0,127471,115362,31853,23.01160421700024,0.5176163070000257,23.529220524000266,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-100.0,0.8038128512836092,0.7520608300170551,0.7770761436228798,0.8093743132514991,10583.0,2583.0,15198.0,3489.0,31853.0,127471,115362,31853,23.01160421700024,0.5176163070000257,23.529220524000266,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-120.0,0.9845138359989846,0.9977487618190004,0.9910871162508386,0.9823980316078357,31024.0,488.0,119.0,70.0,31701.0,127623,115440,31701,18.39719880599978,0.43553051699973366,18.832729322999512,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-115.0,0.957946127946128,0.9699314764940511,0.9639015465925838,0.932778145799817,28451.0,1249.0,1119.0,882.0,31701.0,127623,115440,31701,18.39719880599978,0.43553051699973366,18.832729322999512,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-110.0,0.9054594372407608,0.9344414021827157,0.9197221589615121,0.8665657234787546,24231.0,2530.0,3240.0,1700.0,31701.0,127623,115440,31701,18.39719880599978,0.43553051699973366,18.832729322999512,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-105.0,0.8480715857976839,0.8613014530786801,0.8546353224834237,0.8098167250244471,17723.0,3175.0,7949.0,2854.0,31701.0,127623,115440,31701,18.39719880599978,0.43553051699973366,18.832729322999512,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-100.0,0.8169465648854962,0.7514394045780087,0.7828249579401653,0.8126872969306962,10702.0,2398.0,15061.0,3540.0,31701.0,127623,115440,31701,18.39719880599978,0.43553051699973366,18.832729322999512,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-120.0,0.9837589962422776,0.9986099886859544,0.9911288640775141,0.982468376501918,30892.0,510.0,98.0,43.0,31543.0,127781,115514,31543,20.23458857600008,0.6619114280001668,20.896500004000245,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-115.0,0.9561097763189063,0.9682659355723098,0.9621494611023139,0.9295247757030086,28254.0,1297.0,1066.0,926.0,31543.0,127781,115514,31543,20.23458857600008,0.6619114280001668,20.896500004000245,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-110.0,0.902674842932922,0.9328201539538139,0.9174999522015945,0.8632026123070095,23994.0,2587.0,3234.0,1728.0,31543.0,127781,115514,31543,20.23458857600008,0.6619114280001668,20.896500004000245,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-105.0,0.8435918058381038,0.873897275044109,0.8584771671360825,0.8136195035348571,17831.0,3306.0,7833.0,2573.0,31543.0,127781,115514,31543,20.23458857600008,0.6619114280001668,20.896500004000245,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_gpr_v1,5_gpr,1,-100.0,0.8133496257828012,0.7523311669963266,0.781651376146789,0.8113686079320293,10650.0,2444.0,14943.0,3506.0,31543.0,127781,115514,31543,20.23458857600008,0.6619114280001668,20.896500004000245,8,0.001,1.0,1e-06,True,400,42,mad,3.5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
