method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,mae_std,rmse_std,r2_std,pearson_std,spearman_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
4_ml_v1,4_ml,1,3.2592987159616715,4.615358601180272,0.8099969601169861,0.9000547710944252,0.8889448142901776,32210.0,127114,127114,32210,40.519066157,0.18796890899966456,40.70703506599966,20,none,99.0,4.0,0.0007,5.0,20,,,,,,,,,,,,42.0,global,global_poly,rf,600.0,,1.0,2.0,50.0,50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,3.3017951569038586,4.683535018932124,0.8051919286718874,0.8973514517555995,0.8852391789234089,32017.0,127307,127307,32017,40.91396990699968,0.19649408200029939,41.11046398899998,20,none,99.0,4.0,0.0007,5.0,20,,,,,,,,,,,,42.0,global,global_poly,rf,600.0,,1.0,2.0,50.0,50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,3.2487788603268597,4.63472973904757,0.8073709703017022,0.8986422867880607,0.8881410956403569,31853.0,127471,127471,31853,41.88439251900036,0.19387155799995526,42.07826407700031,20,none,99.0,4.0,0.0007,5.0,20,,,,,,,,,,,,42.0,global,global_poly,rf,600.0,,1.0,2.0,50.0,50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,3.2354985734865247,4.617342419697344,0.8116114781364763,0.90092990261249,0.890549872014356,31701.0,127623,127623,31701,40.8195753140003,0.18996014399999694,41.0095354580003,20,none,99.0,4.0,0.0007,5.0,20,,,,,,,,,,,,42.0,global,global_poly,rf,600.0,,1.0,2.0,50.0,50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,3.2627271603369756,4.648575304046114,0.8094164040055156,0.8997125922654244,0.8889439630540221,31543.0,127781,127781,31543,41.0193361659999,0.19074504499985778,41.21008121099976,20,none,99.0,4.0,0.0007,5.0,20,,,,,,,,,,,,42.0,global,global_poly,rf,600.0,,1.0,2.0,50.0,50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
