method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,n_repeats,mae_std,rmse_std,r2_std,pearson_std,spearman_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
2_kriging_v1,2_kriging,1,4.801062941957282,10.155344098000473,0.08010356519378692,0.6260988529404243,0.7913062874309726,32210.0,127114,115064,32210,6.708895262000169,29.751297269999668,36.46019253199984,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,5.235959740039228,11.091117278797375,-0.09247120366188732,0.5832062585820559,0.7775517360709037,32017.0,127307,115183,32017,6.699098479999975,29.261057537999932,35.96015601799991,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,4.703518554896315,9.818457530199884,0.13551106340826535,0.6305527069375809,0.7903242951932336,31853.0,127471,115292,31853,6.734228875000099,30.696727398999883,37.43095627399998,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,4.798994007864196,10.093915602238337,0.09969510525203829,0.6253489229939644,0.7941923773901445,31701.0,127623,115342,31701,6.794084319999911,33.37124718899986,40.16533150899977,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,4.537827749784966,9.05234932605865,0.27728280863238786,0.674114350114798,0.8000873368392741,31543.0,127781,115433,31543,6.790907453999807,37.0077199049997,43.79862735899951,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
